Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.21568E-3,56.540922202,0.812066145,0.006877305,0.363636364,0.4
3.26534E-3,56.867455747,0.816854964,0.006777634,0.363636364,0.4
3.33955E-3,57.201411045,0.823786456,0.006677963,0.363636364,0.4
3.34153E-3,57.53556436,0.823967754,0.006578292,0.363636364,0.4
3.34721E-3,57.870285249,0.824486376,0.006478621,0.363636364,0.4
3.35386E-3,58.205671011,0.82509196,0.006378949,0.363636364,0.4
3.39732E-3,58.545403477,0.828999906,0.006279278,0.363636364,0.4
3.44396E-3,58.889799415,0.833095606,0.006179607,0.363636364,0.4
3.4736E-3,59.237159651,0.835647859,0.006079936,0.363636364,0.4
3.50369E-3,59.587529,0.838198783,0.005980265,0.363636364,0.4
3.53441E-3,59.940969632,0.840761588,0.005880594,0.363636364,0.4
3.53723E-3,60.294692768,0.840995271,0.005780923,0.363636364,0.4
3.56044E-3,60.650736919,0.842902254,0.005681252,0.393939394,0.4
3.57777E-3,61.008513848,0.844311005,0.005581581,0.393939394,0.4
3.61614E-3,61.37012771,0.847385644,0.00548191,0.393939394,0.4
3.69367E-3,61.739494329,0.85341409,0.005382239,0.393939394,0.4
3.7046E-3,62.10995409,0.854244729,0.005282568,0.393939394,0.4
3.72901E-3,62.482855061,0.856082759,0.005182896,0.424242424,0.4
3.78682E-3,62.861536869,0.860343355,0.005083225,0.454545455,0.4
3.93968E-3,63.255504674,0.871011534,0.004983554,0.454545455,0.4
4.00856E-3,63.656360949,0.875548829,0.004883883,0.454545455,0.4
4.1113E-3,64.06749092,0.882021091,0.004784212,0.454545455,0.4
4.14243E-3,64.481733466,0.883914704,0.004684541,0.454545455,0.4
4.21675E-3,64.903408029,0.888314145,0.00458487,0.454545455,0.4
4.33005E-3,65.336412891,0.89470249,0.004485199,0.454545455,0.4
4.34928E-3,65.771341357,0.895750198,0.004385528,0.454545455,0.4
4.51739E-3,66.223080521,0.904473858,0.004285857,0.454545455,0.4
4.58352E-3,66.681432345,0.907701842,0.004186186,0.454545455,0.4
4.66533E-3,67.147965648,0.911545087,0.004086515,0.454545455,0.4
4.7463E-3,68.089128521,0.915190742,0.003887172,0.515151515,0.4
4.76859E-3,68.565988015,0.916168192,0.003787501,0.515151515,0.4
4.94621E-3,69.060608804,0.923561933,0.00368783,0.515151515,0.4
